,Accuracy,Precision (macro),Recall (macro),F1-score (macro),AUC-ROC (macro),Precision (Analysis),Recall (Analysis),F1-score (Analysis),Precision (Backdoor),Recall (Backdoor),F1-score (Backdoor),Precision (DoS),Recall (DoS),F1-score (DoS),Precision (Exploits),Recall (Exploits),F1-score (Exploits),Precision (Fuzzers),Recall (Fuzzers),F1-score (Fuzzers),Precision (Generic),Recall (Generic),F1-score (Generic),Precision (Normal),Recall (Normal),F1-score (Normal),Precision (Reconnaissance),Recall (Reconnaissance),F1-score (Reconnaissance),Precision (Shellcode),Recall (Shellcode),F1-score (Shellcode),Precision (Worms),Recall (Worms),F1-score (Worms),Model,Dataset
Value,0.789919028340081,0.3824201359787672,0.4116909230746238,0.3917471799044479,0.7925773134689325,0.0,0.0,0.0,0.0,0.0,0.0,0.1512287334593572,0.2025316455696202,0.1731601731601731,0.5434262948207171,0.610381861575179,0.5749613601236476,0.5196879643387816,0.7767906718489728,0.6227464945470732,0.9840464104423496,0.963265306122449,0.9735449735449734,0.995915927881263,0.8969229389073293,0.9438308316812992,0.4257075471698113,0.3392857142857143,0.3776150627615062,0.2041884816753926,0.3277310924369748,0.2516129032258064,0.0,0.0,0.0,Adaboost,UNSW_NB15
Value,0.8874493927125506,0.5990808847630609,0.4820815764995315,0.4934710819570167,0.9791212851593336,0.6842105263157894,0.0619047619047619,0.1135371179039301,0.0,0.0,0.0,0.3919597989949748,0.0658227848101265,0.1127167630057803,0.5966272533436713,0.9182577565632458,0.7232992597814593,0.792368125701459,0.7840088839533592,0.7881663410549816,0.9950738916256158,0.9678793256433008,0.981288233177402,0.9931120851596744,0.9959630393827936,0.9945355191256832,0.9084249084249084,0.6992481203007519,0.7902283590015933,0.6290322580645161,0.3277310924369748,0.430939226519337,0.0,0.0,0.0,CNN,UNSW_NB15
Value,0.884251012145749,0.5327081919384408,0.5407130116747584,0.5355324657473866,0.7640354521065758,0.1058823529411764,0.0857142857142857,0.0947368421052631,0.0151515151515151,0.0170454545454545,0.0160427807486631,0.3475232198142415,0.3789029535864979,0.3625353249899072,0.7040754257907543,0.6906324582338902,0.6972891566265059,0.8247480403135499,0.8178789561354803,0.8212991357680514,0.98083747338538,0.981011535048802,0.9809244964954308,0.9999102978112666,1.0,0.9999551468939224,0.8285714285714286,0.7904135338345865,0.8090428090428091,0.4203821656050955,0.5546218487394958,0.4782608695652174,0.1,0.0909090909090909,0.0952380952380952,DecisionTree,UNSW_NB15
Value,0.8482995951417004,0.4788372036498408,0.4474872593594033,0.4554546825005218,0.7973802976595243,0.0506912442396313,0.0523809523809523,0.0515222482435597,0.0,0.0,0.0,0.3906497622820919,0.4160337552742616,0.4029423784225582,0.646162690428284,0.6706443914081146,0.6581759625237886,0.6219646799116998,0.6257634647418101,0.6238582895101024,0.9932690558486448,0.968944099378882,0.9809558030901908,0.9613084769609568,0.9807122992733472,0.9709134508637152,0.7032734952481521,0.6259398496240601,0.662357036300348,0.4210526315789473,0.134453781512605,0.2038216560509554,0.0,0.0,0.0,KNN,UNSW_NB15
Value,0.84417004048583,0.4572248639632222,0.4306734897509782,0.4303199738783923,0.9565305864739728,0.2,0.019047619047619,0.0347826086956521,0.0,0.0,0.0,0.4060218978102189,0.3755274261603376,0.3901797457255589,0.6487106017191977,0.6754176610978521,0.6617947968430282,0.628632938643703,0.648528595224875,0.6384257993987429,0.9928871055991244,0.9661047027506656,0.9793128260478504,0.9320096269554752,0.972728088274872,0.9519336289012774,0.6211293260473588,0.6409774436090225,0.6308973172987973,0.1428571428571428,0.0084033613445378,0.0158730158730158,0.0,0.0,0.0,LogisticRegression,UNSW_NB15
Value,0.8677327935222672,0.4294433310093999,0.4308207855640423,0.4176316531929265,0.969429076995981,0.0,0.0,0.0,0.0,0.0,0.0,0.3420074349442379,0.0776371308016877,0.1265474552957359,0.5844306738962045,0.9003579952267303,0.7087834664161579,0.7791878172588832,0.6818434203220433,0.7272727272727273,0.9990796981409904,0.963265306122449,0.9808456812432236,0.99227342968821,0.9792769354983404,0.9857323460357597,0.5974542561654733,0.7058270676691729,0.6471348556656612,0.0,0.0,0.0,0.0,0.0,0.0,LSTM,UNSW_NB15
Value,0.8939676113360324,0.5525430044376856,0.5357150360384316,0.543087350765574,0.8836672140726252,0.0961538461538461,0.0714285714285714,0.081967213114754,0.0,0.0,0.0,0.4048309178743961,0.3535864978902953,0.3774774774774775,0.7072707542051003,0.777744630071599,0.7408354646206309,0.834697217675941,0.8495280399777901,0.8420473307649973,0.9976350736765508,0.9732031943212068,0.9852676967301472,0.9907366170838158,0.99784695433749,0.9942790739250916,0.8568507157464212,0.7875939849624061,0.820763956904995,0.6372549019607843,0.5462184873949579,0.5882352941176471,0.0,0.0,0.0,RandomForest,UNSW_NB15
Value,0.8410931174089069,0.4215997585153165,0.4059080892863489,0.4114771627777115,0.9561506641924424,0.0,0.0,0.0,0.0,0.0,0.0,0.3757763975155279,0.3063291139240506,0.3375174337517433,0.6281697213155912,0.7464200477326969,0.6822085889570553,0.6411575562700965,0.5535813436979455,0.5941597139451729,0.9961467889908256,0.9634427684117124,0.9795218764095625,0.9178128144917814,0.9817888221046022,0.9487235056997962,0.656934306569343,0.5075187969924813,0.5726405090137858,0.0,0.0,0.0,0.0,0.0,0.0,SVM,UNSW_NB15
Value,0.8807311592882735,0.5662793529292937,0.4784666251803249,0.4862401843872875,0.9768413898801512,0.7692307692307693,0.0763358778625954,0.1388888888888889,0.0,0.0,0.0,0.4366515837104072,0.2455470737913486,0.3143322475570033,0.6456942003514938,0.8074725274725275,0.717578125,0.6796256299496041,0.7788778877887789,0.7258746635909266,0.996134732192159,0.9691109320440504,0.982437031994554,0.9964898069393816,0.99501213265031,0.9957504215851604,0.7223001402524543,0.7123098201936376,0.7172701949860725,0.4166666666666667,0.2,0.2702702702702703,0.0,0.0,0.0,Transformer,UNSW_NB15
